Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0
"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,1932,,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",1932,,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0
"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",1932,,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",1932,,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada",1931,,,Switzerland,Cantone Ticino,Cavergno,46.35638,8.58472,5,False,0
"Porträt, Kind, Brione (Verzasca)","Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend",1934,,,Switzerland,,Brione (Verzasca),,,0,False,0
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar,1934,,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend,1934,,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0
"Porträt, Weibliche Person, Frasco","Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.",1934,,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0
"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen beschäftigt in einem Winkel zwischen Hauswand und Treppengemäuer",1934,,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0
"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen am Werk",1934,,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0
"Schweiz, Gesamtaussenansicht einer Kapelle","Schweiz. Die Kapelle zwischen einem Stall und einem Speicher; davor Weg und Zäune, Wiesenfläche. Aufnahme 1921.",1921,,,Switzerland,,,,,0,False,0
"Porträt, Männliche Person, Schweiz","Schweiz. Menschliches. Alter Herr (Professor?) in grauem Jaquetkleid, vor Hausecke an Treppe stehend",1890-1936,,,Switzerland,,,,,0,False,0
"Porträt, Weibliche Person, Evolène","Evolène VS. Trachtenwesen. Junge Frau in der Evolènertracht, mit Strickzeug auf Haustreppe sitzend",1922,,,Switzerland,Canton du Valais,Evolène,46.11422,7.49407,3,True,0
"Porträt, Kind, Evolène",Evolène VS. Menschliches. Zwölfjähriger Bauern- und Hirtenbub; Brustbild von vorn,1922,,,Switzerland,Canton du Valais,Evolène,46.11422,7.49407,3,True,0
"Schweiz, Gesamtaussenansicht eines Hauses","Schweiz. Landschaft, Einzelbau. Stattliches Bauernhaus, von Wiesengelände umgeben",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft",Schweiz. Landschaft. Weiher und Wiesenstreifen am Ufer und Baumreihe,1890-1936,,,Switzerland,,,,,0,False,0
"Rüti, Zürcher Oberland, Ortsteilansicht","Rüti, Blick nach Südosten auf die Glarner (Vor-)Alpen. Links über der Mitte: Glarner und Schwyzer Voralpenkette zwischen Planggenstock und Stockberg; links hinter dem Wald: Mürtschenstock; rechts der Mitte: Wägital",1890-1936,,,Switzerland,Kanton Glarus,Rüti,46.93779,9.01695,3,True,0
"Porträt, Männliche Person, Schweiz",Schweiz. Sonntagsfreuden. Drei Herren in einem kleinen Boot startbereit,1890-1936,,,Switzerland,,,,,0,False,0
"Fürstentum Liechtenstein, Vaduz, Ortsteilansicht","Vaduz FL. Landschaft, Siedlung. Das alte Dorf, Teilansicht mit Umgebung von Südosten (von der Strasse nach dem Schlosse aus)",1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.14151,9.52154,3,True,0
"Fürstentum Liechtenstein, Vaduz, Vaistlihof","Vaduz FL. Dorfbild. Gebäudekomplex Vaistlihof im Alten Dorf, von Rebbergen umgeben, Ansicht von Südosten",1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.14151,9.52154,3,True,0
"Fürstentum Liechtenstein, Vaduz, Landschaft","Vaduz FL. Landschaft. Die Strasse vom Alten Dorf nach dem Fürstlichen Schlosse an einem Berghang entlang führend; Blick gegen das Schloss, von dem man infolge Nebels nur die Umrisse sieht",1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.14151,9.52154,3,True,0
"Fürstentum Liechtenstein, Vaduz, Ortsteilansicht","Vaduz FL. Landschaft, Siedlung. Kulturgelände mit Wies- und Ackerboden, Obstbäumen; Häuser des Alten Dorfes von Vaduz; links hinten das Schloss; Blick von Norden gegen Süden",1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.14151,9.52154,3,True,0
"Fürstentum Liechtenstein, Vaduz, Schloss Vaduz",Vaduz FL. Das Schloss. Teil-Aussenansicht von Süden: der Saalbau mit An- und Vorbauten,1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.13961,9.52434,5,False,0
"Fürstentum Liechtenstein, Vaduz, Schloss Vaduz","Vaduz FL. Das Schloss. Gesamt-Aussenansicht von Süden, mit Vorgelände",1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.13961,9.52434,5,False,0
"Fürstentum Liechtenstein, Vaduz, Schloss Vaduz","Vaduz FL. Das Schloss. Vorwerk, Zugang: zwei kurz nacheinander folgende offene Rundbogentore als Einfahrt",1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.13961,9.52434,5,False,0
"Fürstentum Liechtenstein, Vaduz, Schloss Vaduz",Vaduz FL. Das Schloss. Hofinneres: die nördlichen Winkel des Hofes und Bauteile,1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.13961,9.52434,5,False,0
"Fürstentum Liechtenstein, Vaduz, Schloss Vaduz",Vaduz FL. Das Schloss. Der Zugang: Blick von aussen durch zwei kurz nacheinander liegende Rundbogentore in den äussern Schlosshof,1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.13961,9.52434,5,False,0
"Fürstentum Liechtenstein, Vaduz, Schloss Vaduz","Vaduz FL. Das Schloss. Äussern und Vorwerk, Zufahrt zum innern Schlosstor, westliche Fassade Rundbogentore und Anbau",1890-1936,,,Liechtenstein,Vaduz,Vaduz,47.13961,9.52434,5,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Landschaft. Der Talfluss mit Sperren und Wasserfällen; Blick taleinwärts,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Landschaft. Der Talfluss mit gemauerten Sperren und Verbauungen; Blick taleinwärts,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Bauernhaus [Lokalisierung unsicher]","Schweiz. Landschaftsmotiv mit Bauernhaus im lnnerschweizer Stil (mit Klebedächern), von Wiesland, Garten und Obstbäumen umgeben",1890-1936,,,Switzerland,,,,,0,False,0
"Donaueschingen, Ortsteilansicht","Donaueschingen, Deutschland. Landschaft, Stadtbild. Flüsschen (die Brigach) mit architektonischer Steinbrücke (Leopoldsbrücke), dahinter eine Kirche mit zwei Türmen; an den Flussufern viel Baum- und Buschvegetation",1890-1936,,,Germany,Baden-Württemberg,Donaueschingen,47.95514,8.49707,3,True,0
"Donaueschingen, Donauquelle","Donaueschingen, Deutschland. Landschaft, Vegetation, Architektur. Gewässer, an dessen Ufer vor einem Parkbäume und zwischen Büschen sich ein architektonisches Monument in Form eines Tempelchens erhebt, unter dem hervor eine Quelle quillt. Am Architrav die lnschrift: 'Danuvii caput exornavit' (Ein Denkmal gesetzt vom letzten deutschen Kaiser zum Gedenken an sich selber! 1900)",1890-1936,,,Germany,Baden-Württemberg,Donaueschingen,48.0955138,8.1548547,4,False,1
"Konstanz, Ortsteilansicht","Konstanz, Deutschland. Flusslandschaft, Stadtbild",1890-1936,,,Germany,Baden-Württemberg,Konstanz,47.66033,9.17582,3,True,0
"Schweiz, Vierwaldstättersee","Vierwaldstättersee, Blick von Merlischachen (SZ) nach Südsüdwesten. Links (von vorne nach hinten): Landspitze von Hertenstein, Bürgenstock, Stanserhorn",1890-1936,,,Switzerland,,,46.9819,8.48,5,False,0
"Schweiz, Kirche [Lokalisierung unsicher]","Schweiz. Kirche. Teil-Aussenansicht. Kirchenäusseres mit Eingangsvorhalle seitlich von rechts gesehen; links hinten ein Turm-Anbau; Friedhofpartie, Weg. Aufnahme 1890-1936.",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Strassenszene [Lokalisierung unsicher]","Schweiz. Landschaft. Strassenkreuzung mit Baum in der Mitte, um den herum, auf einer Ringbank, eine Anzahl alter Leute sitzen (lnsassen eines Altersheimes?), dahinter ansteigenes Wiesengelände. Aufnahme 1890-1936.",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Gebäude, Gesamtaussenansicht",Schweiz. Landschaft. Freier Platz auf einer Anhöhe. lm Mittelgrund ein Restaurationsgebäude mit Anbau und ein Schopf. Aufnahme 1890-1936.,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Ortsteilansicht eines Dorfes",Schweiz. Dorfbild. Motiv mit dem Dorfbach mit Wasserstand; Blick vom rechten Ufer hinüber nach der Kirche und deren Nachbarhäusern,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft",Schweiz. Landschaft. Mondnacht über dem See,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft",Schweiz. Landschaft mit Weiher. Am Ufer Laubbäume und Schilfzone; dahinter Wiesengelände ansteigend zu einer bewaldeten Anhöhe,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft",Schweiz. Seelandschaft. Blick vom Ufer aus über den See hinweg; Aufnahme im Moment einer totalen Sonnenfinsternis? Eigenartiger Lichteffekt,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Ortsteilansicht",Schweiz. Landschaft. Strasse entlang dem eisernen Zaun eines privaten Parks zu Villa. lnnerhalb des Zauns ein Pförntner- und Gärtnerhaus in englischer Neugotik; auf der Strasse ein Automobil von ca. 1915,1916,,,Switzerland,,,,,0,False,0
"Bignasco, Ortsteilansicht","Bignasco TI. Bauerntum. Teilansicht eines Speicher- und Stallgebäudes: Erdgeschoss mit offenem Unterstand, in welchem zwei alte Männer sich einer handwerklichen Arbeit widmen",1932,,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0
"Schweiz, Landschaft",Schweiz. Botanisches,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft",Schweiz. Botanisches,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft",Schweiz. Botanisches,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft",Schweiz. Botanisches,1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft","Schweiz (im Küsnachter Tobel ?/b. Katzensee?). Landschaft, Vegetation. Stilles Grabengewässer inmitten üppiger, sommerlicher Rasen-, Baum- und Buschvegetation. Aufnahme 1890-1936.",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft","Schweiz (im Küsnachter Tobel ?/b. Katzensee?). Landschaft, Vegetation. Stilles Grabengewässer inmitten üppiger, sommerlicher Rasen-, Baum- und Buschvegetation (zu Bild Nr. 13573). Aufnahme 1890-1936.",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft","Schweiz. Landschaft, Vegetation. Blick durch eine Geländepartie von grabenartiger Formation, in waldiger Umgebung: links eine Felswand, an und auf welcher Nadel- und Laubbäume stehen, rechts ein Steilhang mit Buschwerk überwachsen; hinten zwei Bergzacken",1890-1936,,,Switzerland,,,,,0,False,0
"Schweiz, Landschaft","Schweiz. Landschaft, Vegetation",1890-1936,,,Switzerland,,,,,0,False,0
"Porträt, Männliche Person und weibliche Person","Mergoscia TI. Mensch, Arbeit. Älteres kleinbäuerliches Ehepaar mit Tragbürden am Wegrand ruhend, auf dem Heimwege",1890-1936,,,Switzerland,Cantone Ticino,Mergoscia,46.21061,8.84777,3,True,0
"Orselina, Ortsteilansicht","Orselina TI. Dorfbild. Weg unter einer Pergola, Garten, Häuser, Vorfrühlingsstimmung.",1890-1936,,,Switzerland,Cantone Ticino,Orselina,46.18013,8.79979,3,True,0
"Orselina, Landschaft","Orselina TI. Landschaftsmotiv mit Felswand, Gemäuer, Wasserstrahl, Wäscherinnen an Wassertümpel in der Nähe von Madonna del Sasso",1890-1936,,,Switzerland,Cantone Ticino,Orselina,46.17485,8.79346,5,False,0
"Losone, Landschaft",Losone TI. Landschaftsmotiv mit Bach und alter Mauerbrücke in dünnem Laubgehölz; Vorfrühlingsstimmung; Blick bachaufwärts gegen die Dorfkirche.,1890-1936,,,Switzerland,Cantone Ticino,Losone,46.16866,8.75928,3,True,0
"Locarno, Ortsteilansicht",Locarno TI. Stadtbild. Marktszene auf der Piazza Grande.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.1692181,8.7949702,4,False,1
"Locarno, Ortsteilansicht",Locarno TI. Stadtbild. Marktleben auf der Piazza del Mercato.,circa 1900,,,Switzerland,Cantone Ticino,Locarno,46.17086,8.79953,3,True,0
"Isole di Brissago, Landschaft",Brissago TI. Landschaftsmotiv (auf der Brissago lnsel) mit Parkanlagen am Seeufer. Subtropische und andere Baumvegetation; Blick über einen Spazierweg nach dem See in südwestlicher Richtung,circa 1900,,,Switzerland,Cantone Ticino,Brissago,46.13228,8.73545,5,False,0
