Title;Description;Breitengrad;Längengrad;City;01-Datei;Persiode
Paspels, Canova, Burg Neu-Süns, Teilaussenansicht;Ruine von Canova (Burg Neu-Süns) und Canovasee;46.7486734;9.4440897;Paspels;lcmt-nabi-pctmp_ead_wehr_15050-B_pctmp.jpg;1908
Luzern, Löwendenkmal, Teilansicht;Detailansicht der Löwenskulptur des Löwendenkmals und Teile der Inschrift;47.0505452;8.3054682;Luzern;lcmt-nabi-pctmp_ead_wehr_1505b-B_pctmp.jpg;1906
Interlaken, Harderbahn, untere Station, Teilaussenansicht;Harderbahn. Ansicht der Station bei Interlaken;46.6855231;7.8585139;Interlaken;lcmt-nabi-pctmp_ead_wehr_15093-B_pctmp.jpg;1908
Harderbahn, Bergstation, Teilaussenansicht;Harderbahn. Blick vom Trassee hinauf zur oberen Station und auf einen Bahnwagen;46.6996822;7.8561411;Harder Kulm;lcmt-nabi-pctmp_ead_wehr_15094-B_pctmp.jpg;1908
Harderkulm, Bergrestaurant, Teilaussenansicht;Ansicht des Bergrestaurants Harder Kulm;46.6981474;7.8532116;Harderkulm;lcmt-nabi-pctmp_ead_wehr_15095-B_pctmp.jpg;1908
Unterseen, Hotel Harder Kulm, Teilaussenansicht;Vorderseite des Harder Kulm Hotel bei Untersseen;46.6871654;7.8496369;Unterseen;lcmt-nabi-pctmp_ead_wehr_15096-B_pctmp.jpg;1908
Harderbahn, Teilansicht;Blick auf einen Teil der Harderbahn mit einem Wagen, im Hintergrund Interlaken;46.6855231;7.8585139;Interlaken;lcmt-nabi-pctmp_ead_wehr_15097-B_pctmp.jpg;1908
Zürich, Kreis 1, Bauschänzli, Ortsteilansicht;Zürich, Blick von der Quaibrücke auf das Bauschänzli;47.3744489;8.5410422;Zürich;lcmt-nabi-pctmp_ead_wehr_15192-B_pctmp.jpg;1908
Lugano, Kirche Santa Maria degli Angioli, Teilinnenansicht;Kirche Santa Maria degli Angioli, la Crocifissione von Bernardino Luini gemalt;46.0050102;8.9520281;Lugano;lcmt-nabi-pctmp_ead_wehr_15317-B_pctmp.jpg;circa 1908
Davos, Bob-Sport;Teilansicht der Davoser Bobbahn mit grosser Zuschauermenge;46.796198;9.8236892;Davos;lcmt-nabi-pctmp_ead_wehr_15332-B_pctmp.jpg;circa 1908
Lugano, Piazza della Riforma, Teilansicht;"Lugano, Piazza della Reforma; Ansicht gegen Südwesten, Blick auf die Marktstände, links der Palazzo Civico, im Hintergrund Geschäftshäuser";46.0050102;8.9520281;Lugano;lcmt-nabi-pctmp_ead_wehr_15354-B_pctmp.jpg;1908
Italia, Valsolda, Oria, Villa Bianci, Gesamtaussenansicht;Ansicht der Villa Bianci am Ufer von Oria;37.4841014;-2.2924853;Oria;lcmt-nabi-pctmp_ead_wehr_15362-B_pctmp.jpg;1908
Italia, Albogasio, Ortsteilansicht;Blick auf Albogasio vom Lago di Lugano aus;46.0236379;9.0401926;Albogasio;lcmt-nabi-pctmp_ead_wehr_15363-B_pctmp.jpg;1908
Italia, Albogasio, Ortsteilansicht;Blick auf Albogasio vom Lago di Lugano aus;46.0236379;9.0401926;Albogasio;lcmt-nabi-pctmp_ead_wehr_15364-B_pctmp.jpg;1908
Italia, Valsolda, San Mamete, Ortsgesamtansicht;Blick auf San Mamete vom Lago di Lugano aus;45.5121798;9.2536963;San Mamete;lcmt-nabi-pctmp_ead_wehr_15365-B_pctmp.jpg;1908
