Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Region,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.,47.657323,11.5233058,Nein,Finstermünz,lcmt-nabi-pctmp_ead_zing_11559_pctmp.jpg,,1917,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162340481,"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.,1917,Rudolf Zinggeler,,Austria,Tirol,Finstermünz,46.9457,9.7392,5,False,0,156.07,https://www.openstreetmap.org/?mlat=46.9457&mlon=9.7392&zoom=14
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.,47.657323,11.5233058,Nein,Finstermünz,lcmt-nabi-pctmp_ead_zing_11560_pctmp.jpg,,1917,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162340574,"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.,1917,Rudolf Zinggeler,,Austria,Tirol,Finstermünz,46.9457,9.7392,5,False,0,156.07,https://www.openstreetmap.org/?mlat=46.9457&mlon=9.7392&zoom=14
"Puria (IT), Ortschaft, Ortsteilansicht","Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten",46.032034,9.0562556,Nein,Puria,lcmt-nabi-pctmp_ead_zing_12082_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737107,"Puria, Ortschaft, Ortsteilansicht","Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Puria,46.0333,9.05,5,False,0,0.5,https://www.openstreetmap.org/?mlat=46.0333&mlon=9.05&zoom=14
"Puria (IT), Ortschaft, Ortsteilansicht","Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda",46.032034,9.0562556,Nein,Puria,lcmt-nabi-pctmp_ead_zing_12083_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737125,"Puria, Ortschaft, Ortsteilansicht","Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Puria,46.0333,9.05,5,False,0,0.5,https://www.openstreetmap.org/?mlat=46.0333&mlon=9.05&zoom=14
"Cressogno (IT), Chiesa San Nicolao, Teilaussenansicht","Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade",46.0247294,9.0727473,Nein,Cressogno,lcmt-nabi-pctmp_ead_zing_12084_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737140,"Cressogno, Chiesa San Nicolao","Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Cressogno,46.02426,9.07102,3,True,0,0.14,https://www.openstreetmap.org/?mlat=46.02426&mlon=9.07102&zoom=14
"Castello (IT), Ortschaft, Ortsteilansicht","Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)",44.9515624,9.2536443,Nein,Castello,lcmt-nabi-pctmp_ead_zing_12085_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737158,"Castello Val Solda, Ortsteilansicht","Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)",1890-1936,,,Italy,Lombardia,Castello,45.9492211,8.6652135,4,False,1,120.05,https://www.openstreetmap.org/?mlat=45.9492211&mlon=8.6652135&zoom=14
"Porträt, Männliche Person, Onsernone","Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue)",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12140_pctmp.jpg,Tessin,1933,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738441,"Porträt, Männliche Person, Onsernone","Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue)",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Weibliche Person, Onsernone",Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild),46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12153_pctmp.jpg,Tessin,1933,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738511,"Porträt, Weibliche Person, Onsernone",Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild),1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung,46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12155_pctmp.jpg,Tessin,1933,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738537,"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung,1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn)",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12161_pctmp.jpg,Tessin,1933,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738588,"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn)",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12162_pctmp.jpg,Tessin,1933,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738625,"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,46.3169604,8.6018223,Nein,Cevio,lcmt-nabi-pctmp_ead_zing_12198_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162740607,"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0,0.27,https://www.openstreetmap.org/?mlat=46.31479&mlon=8.60332&zoom=14
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,46.3169604,8.6018223,Nein,Cevio,lcmt-nabi-pctmp_ead_zing_12199_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162740627,"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0,0.27,https://www.openstreetmap.org/?mlat=46.31479&mlon=8.60332&zoom=14
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12207_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741063,"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15,https://www.openstreetmap.org/?mlat=46.33845&mlon=8.60816&zoom=14
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12208_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741088,"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15,https://www.openstreetmap.org/?mlat=46.33845&mlon=8.60816&zoom=14
"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12210_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741108,"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15,https://www.openstreetmap.org/?mlat=46.33845&mlon=8.60816&zoom=14
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12213_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741186,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.34531&mlon=8.60713&zoom=14
"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12215_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741212,"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.34531&mlon=8.60713&zoom=14
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12216_pctmp.jpg,Tessin,1932,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741229,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.34531&mlon=8.60713&zoom=14
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12232_pctmp.jpg,Tessin,1931,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741540,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada",1931,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.35638,8.58472,5,False,0,2.13,https://www.openstreetmap.org/?mlat=46.35638&mlon=8.58472&zoom=14
"Porträt, Kind, Brione (Verzasca)","Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend",46.2963757,8.7908609,Nein,Brione (Verzasca),lcmt-nabi-pctmp_ead_zing_12283_pctmp.jpg,Tessin,1934,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162742629,"Porträt, Kind, Brione (Verzasca)","Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Brione (Verzasca),46.29525,8.79173,3,True,0,0.14,https://www.openstreetmap.org/?mlat=46.29525&mlon=8.79173&zoom=14
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar,46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12295_pctmp.jpg,Tessin,1934,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162747750,"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar,1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend,46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12318_pctmp.jpg,Tessin,1934,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162748621,"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend,1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
"Porträt, Weibliche Person, Frasco","Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.",46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12337_pctmp.jpg,Tessin,1934,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162748722,"Porträt, Weibliche Person, Frasco","Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
