Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Region,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Valmalenco (IT), Ortschaft, Ortsteilansicht [Lokalisierung unsicher]",Italien. Landschaft und Siedlung. Gegend und Dörfer in einem Seitental des Oberveltlins (Val Malenco?),46.2640846,9.8496555,Nein,Chiesa in Valmalenco,lcmt-nabi-pctmp_ead_zing_16207_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159920436,"Valmalenco, Ortschaft, Ortsteilansicht",Italien. Landschaft und Siedlung. Gegend und Dörfer in einem Seitental des Oberveltlins (Val Malenco?),1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Chiesa in Valmalenco,,,0,False,0,,
"Passo dello Stelvio, Landschaft [Lokalisierung unsicher]","Bormio? Italien. Landschaft. Stilfserjochstrasse(?) mit Cantoniera unweit des Passes, zu oberst im Trafoital(?)",46.4692482,10.3721712,Nein,Bormio,lcmt-nabi-pctmp_ead_zing_16208_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159919884,"Passo dello Stelvio, Landschaft","Bormio? Italien. Landschaft. Stilfserjochstrasse(?) mit Cantoniera unweit des Passes, zu oberst im Trafoital(?)",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Bormio,,,0,False,0,,
"Passo dello Stelvio, Panorama",Santa Maria Val Müstair GR. Gebirgslandschaft im Tourengebiet von St. Maria: die Ortlergruppe vom Stilfserjoch aus gesehen,46.6681414,10.5121558,Nein,Val Müstair,lcmt-nabi-pctmp_ead_zing_16209_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159975837,"Passo dello Stelvio, Panorama",Santa Maria Val Müstair GR. Gebirgslandschaft im Tourengebiet von St. Maria: die Ortlergruppe vom Stilfserjoch aus gesehen,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Val Müstair,46.5333,10.45,5,False,0,15.73,https://www.openstreetmap.org/?mlat=46.5333&mlon=10.45&zoom=14
"Italia, Bormio, Ortsteilansicht","Bormio? Italien. Landschaft. Schlucht, Felswände, Steilhänge bei den alten Bädern von Bormio",46.4692482,10.3721712,Nein,Bormio,lcmt-nabi-pctmp_ead_zing_16210_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159919906,"Italia, Bormio, Ortsteilansicht","Bormio? Italien. Landschaft. Schlucht, Felswände, Steilhänge bei den alten Bädern von Bormio",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Bormio,46.46717,10.37008,3,True,0,0.28,https://www.openstreetmap.org/?mlat=46.46717&mlon=10.37008&zoom=14
"Italia, Passo dello Stelvio, Landschaft","Landschaft des Trafoitales mit den Windungen der Strasse, von oben nach unten gesehen NO- Seite des Stilfserjochs (Stelviopass) mit Kutsche",46.5424387,10.5578294,Nein,Stilfs,lcmt-nabi-pctmp_ead_zing_16211_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159975599,"Italia, Passo dello Stelvio, Landschaft","Landschaft des Trafoitales mit den Windungen der Strasse, von oben nach unten gesehen NO- Seite des Stilfserjochs (Stelviopass) mit Kutsche",1890-1936,Rudolf Zinggeler,,Italy,Trentino-Alto Adige,Stilfs,46.5333,10.45,5,False,0,8.31,https://www.openstreetmap.org/?mlat=46.5333&mlon=10.45&zoom=14
"Passo dello Stelvio, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft. Felsen, Schnee, Eis an der Landesgrenze; Grenzstein: auf dem Stilfserjoc",46.6681414,10.5121558,Nein,Val Müstair,lcmt-nabi-pctmp_ead_zing_16259_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159975879,"Passo dello Stelvio, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft. Felsen, Schnee, Eis an der Landesgrenze; Grenzstein: auf dem Stilfserjoc",1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Val Müstair,46.5333,10.45,5,False,0,15.73,https://www.openstreetmap.org/?mlat=46.5333&mlon=10.45&zoom=14
"Kopfschmuck, Gesamtansicht",Kippel VS. Trachtenwesen. Weibliche Kopfbedeckung: Haube mit Blumen und Bändern (unscharfe Aufnahme),,,Nein,,lcmt-nabi-pctmp_ead_zing_5725_pctmp.jpg,,circa 1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M160545248,"Kopfschmuck, Gesamtansicht",Kippel VS. Trachtenwesen. Weibliche Kopfbedeckung: Haube mit Blumen und Bändern (unscharfe Aufnahme),1936,Rudolf Zinggeler,,Switzerland,Canton du Valais,Kippel,46.39885,7.77194,3,True,0,,https://www.openstreetmap.org/?mlat=46.39885&mlon=7.77194&zoom=14
"France, Le Salève, Ortsteilansicht","La Croisette s/Salève (Frankreich). Landschaft, Siedlung. Hügelgelände mit Wiesen- und Weideland; ein Weiler mit bäuerlichen Gebäulichkeiten",50.6888451,3.6064112,Nein,La Croisette,lcmt-nabi-pctmp_ead_zing_6715_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159981202,"France, Le Salève, Ortsteilansicht","La Croisette s/Salève (Frankreich). Landschaft, Siedlung. Hügelgelände mit Wiesen- und Weideland; ein Weiler mit bäuerlichen Gebäulichkeiten",1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,La Croisette,50.44536,3.46223,3,True,0,28.93,https://www.openstreetmap.org/?mlat=50.44536&mlon=3.46223&zoom=14
"France, Bellegarde-sur-Valsarine, Les Pertes du Rhône, Teilansicht",Bellegarde (Frankreich). Landschaft. Blick durch einen Bach-/Flusslauf zwischen Felsgewände gegen eine Strassenbrücke in der Umgebung von Genf,46.1073717,5.8307764,Nein,Bellegarde-sur-Valserine,lcmt-nabi-pctmp_ead_zing_6726_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159976542,"France, Bellegarde-sur-Valserine, Les Pertes du Rhône",Bellegarde (Frankreich). Landschaft. Blick durch einen Bach-/Flusslauf zwischen Felsgewände gegen eine Strassenbrücke in der Umgebung von Genf,1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Bellegarde-sur-Valserine,46.10787,5.82421,3,True,0,0.51,https://www.openstreetmap.org/?mlat=46.10787&mlon=5.82421&zoom=14
"France, Annemasse, Château Etrembières, Gesamtansicht",Annemasse (Frankreich). Schloss Etrembières. Aussenansicht (zu Bild Nr. 6735),46.1934005,6.2341093,Nein,Annemasse,lcmt-nabi-pctmp_ead_zing_6728_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159976251,"France, Annemasse, Château Etrembières",Annemasse (Frankreich). Schloss Etrembières. Aussenansicht (zu Bild Nr. 6735),1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Annemasse,46.1699756,6.2158023,4,False,1,2.96,https://www.openstreetmap.org/?mlat=46.1699756&mlon=6.2158023&zoom=14
"France, Bellegarde-sur-Valsarine, Les Pertes du Rhône, Teilansicht","Bellegarde (Frankreich). Landschaft. Ein Flusslauf 'Les Pertes du Rhône', mit landschaftlicher Umgebung",46.1073717,5.8307764,Nein,Bellegarde-sur-Valserine,lcmt-nabi-pctmp_ead_zing_6729_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159976585,"France, Bellegarde-sur-Valserine, Les Pertes du Rhône","Bellegarde (Frankreich). Landschaft. Ein Flusslauf 'Les Pertes du Rhône', mit landschaftlicher Umgebung",1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Bellegarde-sur-Valserine,46.10787,5.82421,3,True,0,0.51,https://www.openstreetmap.org/?mlat=46.10787&mlon=5.82421&zoom=14
"France, Annemasse, Église Saint-André, Gesamtansicht",Annemasse (Frankreich). Kirche St. André. Aussenansicht: Chor und Längswand; vom Turm die Helmpartie sichtbar; von Süden gesehen; Strasse nach Etrembières,46.1934005,6.2341093,Nein,Annemasse,lcmt-nabi-pctmp_ead_zing_6732_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159976294,"France, Annemasse, Église Saint-André",Annemasse (Frankreich). Kirche St. André. Aussenansicht: Chor und Längswand; vom Turm die Helmpartie sichtbar; von Süden gesehen; Strasse nach Etrembières,1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Annemasse,46.1897726,6.2334783,4,False,1,0.41,https://www.openstreetmap.org/?mlat=46.1897726&mlon=6.2334783&zoom=14
"Porträt, Männliche Person und weibliche Person, Schweiz","Schweiz. Mensch, Lebensweise. Gruppe von acht sonntäglich gekleideten Personen, Biertrinken im Freien, im Hintergrund Gärten und Häuser",,,Nein,,lcmt-nabi-pctmp_ead_zing_6734_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M160448574,"Porträt, Männliche Person und weibliche Person","Schweiz. Mensch, Lebensweise. Gruppe von acht sonntäglich gekleideten Personen, Biertrinken im Freien, im Hintergrund Gärten und Häuser",1890,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"France, Annemasse, Château Etrembières, Gesamtansicht",Annemasse (Frankreich). Schloss Etrembières. Aussenansicht (zu Bild Nr. 6728),46.1934005,6.2341093,Nein,Annemasse,lcmt-nabi-pctmp_ead_zing_6735_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159976354,"France, Annemasse, Château Etrembières",Annemasse (Frankreich). Schloss Etrembières. Aussenansicht (zu Bild Nr. 6728),1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Annemasse,46.1699756,6.2158023,4,False,1,2.96,https://www.openstreetmap.org/?mlat=46.1699756&mlon=6.2158023&zoom=14
"Porträt, Männliche Person und weibliche Person, Schweiz","Schweiz. Bauernhof. Gruppe alter und junger, städtischer und ländlicher Personen; der Altbauer füttert das Hühnervolk",,,Nein,,lcmt-nabi-pctmp_ead_zing_6745_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M160448641,"Porträt, Männliche Person und weibliche Person","Schweiz. Bauernhof. Gruppe alter und junger, städtischer und ländlicher Personen; der Altbauer füttert das Hühnervolk",1890,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"France, Annemasse, Grand Salève, Teilansicht [Lokalisierung unsicher]","Frankreich. Landschaft. Eine hohe Felswand; davor liebliche Wiesengründe: am Salève, Nordwand",46.1934005,6.2341093,Nein,Annemasse,lcmt-nabi-pctmp_ead_zing_6746_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159976391,"France, Annemasse, Grand Salève, Teilansicht","Frankreich. Landschaft. Eine hohe Felswand; davor liebliche Wiesengründe: am Salève, Nordwand",1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Annemasse,,,0,False,0,,
"France, Monnetier, Landschaft [Lokalisierung unsicher]","Frankreich. Landschaft, Siedlung. Gegend in der franz. Nachbarschaft Genfs; zwei Ortschaften terrassenförmig übereinander; dahinter hohe Bergflanke",46.1606961,6.2064086,Nein,Monnetier,lcmt-nabi-pctmp_ead_zing_6748_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159981885,"France, Monnetier, Landschaft","Frankreich. Landschaft, Siedlung. Gegend in der franz. Nachbarschaft Genfs; zwei Ortschaften terrassenförmig übereinander; dahinter hohe Bergflanke",1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Monnetier,,,0,False,0,,
"France, Monnetier-Mornex, Ortsteilenaicht",Frankreich. Dorfbild. Blick über eine Strasse hin gegen eine Gruppe alter Bauernhäuser und ins Dorfinnere hinein. Aufnahme 1890-1936.,46.1606961,6.2064086,Nein,Monnetier,lcmt-nabi-pctmp_ead_zing_6749_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159981929,"France, Monnetier-Mornex, Ortsteilansicht",Frankreich. Dorfbild. Blick über eine Strasse hin gegen eine Gruppe alter Bauernhäuser und ins Dorfinnere hinein. Aufnahme 1890-1936.,1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Monnetier,46.1603,6.20667,3,True,0,0.05,https://www.openstreetmap.org/?mlat=46.1603&mlon=6.20667&zoom=14
"France, Monnetier, Ortsteilansicht","Monnetier sur Salève (Frankreich). Ansicht des Dorfes mit Berghang und schmalen, langegezogenem Felsband zur Linken von Westen",,,Nein,Monnetier sur Salève,lcmt-nabi-pctmp_ead_zing_6750_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159981965,"France, Monnetier sur Salève, Ortsteilansicht","Monnetier sur Salève (Frankreich). Ansicht des Dorfes mit Berghang und schmalen, langegezogenem Felsband zur Linken von Westen",1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Monnetier sur Salève,,,0,False,0,,
"France, Monnetier, Château de l'Ermitage, Gesamtansicht",Monnetier s. Salève (Frankreich). Landschaft. Abhang mit einem Schloss über einer Felswand (am Salève?) Schloss Monnetier von Westen mit nkächster Umgebung,,,Nein,Monnetier sur Salève,lcmt-nabi-pctmp_ead_zing_6751_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159982001,"France, Monnetier, Château de l'Ermitage",Monnetier s. Salève (Frankreich). Landschaft. Abhang mit einem Schloss über einer Felswand (am Salève?) Schloss Monnetier von Westen mit nkächster Umgebung,1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Monnetier sur Salève,46.1638204,6.2026286,4,False,1,,https://www.openstreetmap.org/?mlat=46.1638204&mlon=6.2026286&zoom=14
"France, Annemasse, Arve, Teilansicht",Annemasse (Frankreich). Landschaft am Flusse Arve bei Genf. Im Vordergrund das Tracé einer Strasse und einer Bahnlinie. Blick gegen Osten?,46.1934005,6.2341093,Nein,Annemasse,lcmt-nabi-pctmp_ead_zing_6752_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159976417,"France, Annemasse, Arve-Teilansicht",Annemasse (Frankreich). Landschaft am Flusse Arve bei Genf. Im Vordergrund das Tracé einer Strasse und einer Bahnlinie. Blick gegen Osten?,1890,Rudolf Zinggeler,,France,Auvergne-Rhône-Alpes,Annemasse,46.2007,6.1216,5,False,0,8.7,https://www.openstreetmap.org/?mlat=46.2007&mlon=6.1216&zoom=14
Magnetisches Feld,Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.,,,Nein,,lcmt-nabi-pctmp_ead_zing_7065_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665260,Magnetisches Feld,Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
Magnetisches Feld,Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.,,,Nein,,lcmt-nabi-pctmp_ead_zing_7066_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665305,Magnetisches Feld,Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
Magnetisches Feld,Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.,,,Nein,,lcmt-nabi-pctmp_ead_zing_7067_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665348,Magnetisches Feld,Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Naturphänomen. Spinnennetz mit Wasserperlen besetzt,,,Nein,,lcmt-nabi-pctmp_ead_zing_7150_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665370,"Schweiz, Landschaft",Schweiz. Naturphänomen. Spinnennetz mit Wasserperlen besetzt,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Schweiz, Landschaft [Lokalisierung unsicher]","Schweiz. Naturphänomen. Spinnennetz. Grosses, gleichmässig gearbeitetes, mit Wasserperlen besetztes Exemplar an einer Weisstanne",,,Nein,,lcmt-nabi-pctmp_ead_zing_7151_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159911804,"Schweiz, Landschaft","Schweiz. Naturphänomen. Spinnennetz. Grosses, gleichmässig gearbeitetes, mit Wasserperlen besetztes Exemplar an einer Weisstanne",1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Schweiz, Gesamtaussenansicht eines Hauses [Lokalisierung unsicher]",Schweiz. Ein Wohnhaus aus Backstein; zwei Obergeschosse; Fenster des Hochparterres mit Verdachung; grosses Gittertor als Garteneingang,,,Nein,,lcmt-nabi-pctmp_ead_zing_7409_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665475,"Schweiz, Gesamtaussenansicht eines Hauses",Schweiz. Ein Wohnhaus aus Backstein; zwei Obergeschosse; Fenster des Hochparterres mit Verdachung; grosses Gittertor als Garteneingang,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Seelandschaft. Uferhalden mit Rebbergen; rechts ein alter Herrschaftssitz mit zwei Garten-Eckpavillons; Ansicht vom See aus. Aufnahme 1890-1936.,,,Nein,,lcmt-nabi-pctmp_ead_zing_7464_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665544,"Schweiz, Seelandschaft",Schweiz. Seelandschaft. Uferhalden mit Rebbergen; rechts ein alter Herrschaftssitz mit zwei Garten-Eckpavillons; Ansicht vom See aus. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Landschaft. Blick in ein tobelartiges Tal mit viel Laub- und Nadelgehölz,,,Nein,,lcmt-nabi-pctmp_ead_zing_7501_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665599,"Schweiz, Landschaft",Schweiz. Landschaft. Blick in ein tobelartiges Tal mit viel Laub- und Nadelgehölz,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Porträt, Männliche Person, Richterswil",Schweiz. Vereinswesen. Männerverein unterwegs auf einer Bergwanderung,,,Nein,,lcmt-nabi-pctmp_ead_zing_7529_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159986662,"Porträt, Männliche Person, Richterswil",Schweiz. Vereinswesen. Männerverein unterwegs auf einer Bergwanderung,1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Richterswil","Schweiz. Vereinswesen. Eine Gruppe von sechs jüngern Männern, wandermässig ausgestattet, unterwegs auf einer Bergwanderung",,,Nein,,lcmt-nabi-pctmp_ead_zing_7530_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159986729,"Porträt, Männliche Person, Richterswil","Schweiz. Vereinswesen. Eine Gruppe von sechs jüngern Männern, wandermässig ausgestattet, unterwegs auf einer Bergwanderung",1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Richterswil",Schweiz. Vereinswesen. Fünf Männer in guter Stimmung auf einem Vereinsausflug auf einer Anhöhe,,,Nein,,lcmt-nabi-pctmp_ead_zing_7531_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159986777,"Porträt, Männliche Person, Richterswil",Schweiz. Vereinswesen. Fünf Männer in guter Stimmung auf einem Vereinsausflug auf einer Anhöhe,1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Richterswil","Schweiz. Vereinswesen, Schiesswesen. Ein Schiessverein, vor einer Hause gruppiert, mit Gewehren und Fahne, Zeigermannschaft",,,Nein,,lcmt-nabi-pctmp_ead_zing_7533_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159986827,"Porträt, Männliche Person, Richterswil","Schweiz. Vereinswesen, Schiesswesen. Ein Schiessverein, vor einer Hause gruppiert, mit Gewehren und Fahne, Zeigermannschaft",1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Richterswil","Schweiz. Vereins-, Schiesswesen. Gruppe von fünfzehn Männern mit Gewehren, sonntäglich gekleidet, unterwegs zu oder von einer Schiessveranstaltung",,,Nein,,lcmt-nabi-pctmp_ead_zing_7534_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159986938,"Porträt, Männliche Person, Richterswil","Schweiz. Vereins-, Schiesswesen. Gruppe von fünfzehn Männern mit Gewehren, sonntäglich gekleidet, unterwegs zu oder von einer Schiessveranstaltung",1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Richterswil","Schweiz. Vereins-, Schiesswesen. Ein Schützenverein, vor einer Hause gruppiert, mit Gewehren und Fahne, Zeigermannschaft",,,Nein,,lcmt-nabi-pctmp_ead_zing_7535_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159987058,"Porträt, Männliche Person, Richterswil","Schweiz. Vereins-, Schiesswesen. Ein Schützenverein, vor einer Hause gruppiert, mit Gewehren und Fahne, Zeigermannschaft",1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Richterswil","Schweiz. Vereins-, Schiesswesen. Gruppe von fünfzehn Männern mit Gewehren, unterwegs zu oder von einer Schiessveranstaltung",,,Nein,,lcmt-nabi-pctmp_ead_zing_7536_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M160448766,"Porträt, Männliche Person, Richterswil","Schweiz. Vereins-, Schiesswesen. Gruppe von fünfzehn Männern mit Gewehren, unterwegs zu oder von einer Schiessveranstaltung",1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Richterswil","Schweiz. Vereinswesen. Zwei Dutzend Mann Vereinsmitglieder, sonntäglich gekleidet mit Fahne, unterwegs auf der Heimkehr, in waldigem Gelände",,,Nein,,lcmt-nabi-pctmp_ead_zing_7537_pctmp.jpg,,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159987259,"Porträt, Männliche Person, Richterswil","Schweiz. Vereinswesen. Zwei Dutzend Mann Vereinsmitglieder, sonntäglich gekleidet mit Fahne, unterwegs auf der Heimkehr, in waldigem Gelände",1890,Rudolf Zinggeler,,Switzerland,Kanton Zürich,Richterswil,47.20622,8.69686,3,True,0,,https://www.openstreetmap.org/?mlat=47.20622&mlon=8.69686&zoom=14
"Porträt, Männliche Person, Schweiz","Schweiz. Bauerntum. Teil-Aussenansicht eines Stalles mit Tenntor, der Besitzer und zwei Knechte",,,Nein,,lcmt-nabi-pctmp_ead_zing_7570_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665618,"Porträt, Männliche Person, Schweiz","Schweiz. Bauerntum. Teil-Aussenansicht eines Stalles mit Tenntor, der Besitzer und zwei Knechte",1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Schweiz, Ortsteilansicht eines Dorfes [Lokalisierung unsicher]","Schweiz. Dorfbild, Einzelbau. Altes Gebäude: Dorfschmiede/Wagnerei; Aussenansicht: Obergeschoss und Giebelfeld in Riegelwerk",,,Nein,,lcmt-nabi-pctmp_ead_zing_7577_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665716,"Schweiz, Ortsteilansicht eines Dorfes","Schweiz. Dorfbild, Einzelbau. Altes Gebäude: Dorfschmiede/Wagnerei; Aussenansicht: Obergeschoss und Giebelfeld in Riegelwerk",1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
Mineral,Schweiz. Mineralogie. Aufnahme 1890-1936.,,,Nein,,lcmt-nabi-pctmp_ead_zing_8093_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665761,Mineral,Schweiz. Mineralogie. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Mineral, Brookit, Quarz",Schweiz. Mineralogie. Zwei Stücke Brookit und Quarz. Aufnahme 1890-1936.,,,Nein,,lcmt-nabi-pctmp_ead_zing_8094_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159665793,"Mineral, Brookit, Quarz",Schweiz. Mineralogie. Zwei Stücke Brookit und Quarz. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
