City;Breitengrad;Längengrad;Name;Beschreibung;firstBreitengrad;firstLängengrad;Exakte Koordinaten;Adresse;Datei;Periode;Quelle;Urheber:in;Referenz;;;
Castello;45.9498;8.67566;Castello (IT), Ortschaft, Ortsteilansicht;"Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)";44.9515624;9.2536443;Nein;Castello;lcmt-nabi-pctmp_ead_zing_12085_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162737158;;;
Russo;46.20304;8.62333;Porträt, Männliche Person, Onsernone;Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue);46.2020983;8.6224134;Nein;Russo;lcmt-nabi-pctmp_ead_zing_12140_pctmp.jpg;1933;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162738441;;;
Russo;46.20304;8.62333;Porträt, Weibliche Person, Onsernone;Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild);46.2020983;8.6224134;Nein;Russo;lcmt-nabi-pctmp_ead_zing_12153_pctmp.jpg;1933;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162738511;;;
Russo;46.20304;8.62333;Porträt, Kind, Onsernone;Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung;46.2020983;8.6224134;Nein;Russo;lcmt-nabi-pctmp_ead_zing_12155_pctmp.jpg;1933;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162738537;;;
Russo;46.20304;8.62333;Porträt, Weibliche Person, Onsernone;Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn);46.2020983;8.6224134;Nein;Russo;lcmt-nabi-pctmp_ead_zing_12161_pctmp.jpg;1933;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162738588;;;
Russo;46.20304;8.62333;Porträt, Weibliche Person, Onsernone;"Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich";46.2020983;8.6224134;Nein;Russo;lcmt-nabi-pctmp_ead_zing_12162_pctmp.jpg;1933;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162738625;;;
Cevio;46.31479;8.60332;Porträt, Kind, Cevio;Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät;46.3169604;8.6018223;Nein;Cevio;lcmt-nabi-pctmp_ead_zing_12198_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162740607;;;
Cevio;46.31479;8.60332;Porträt, Kind, Cevio;Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät;46.3169604;8.6018223;Nein;Cevio;lcmt-nabi-pctmp_ead_zing_12199_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162740627;;;
Bignasco;46.33845;8.60816;Porträt, Weibliche Person, Bignasco;Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken;46.3397342;8.6085558;Nein;Bignasco;lcmt-nabi-pctmp_ead_zing_12207_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162741063;;;
Bignasco;46.33845;8.60816;Porträt, Weibliche Person, Bignasco;Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken;46.3397342;8.6085558;Nein;Bignasco;lcmt-nabi-pctmp_ead_zing_12208_pctmp.jpg;1932;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162741088;;;
