City;Breitengrad;Längengrad;Name;Beschreibung;firstBreitengrad;firstLängengrad;Exakte Koordinaten;Adresse;Datei;Periode;Quelle;Urheber:in;Referenz;;;
;;;Magnetisches Feld;Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_7065_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665260;;;
;;;Magnetisches Feld;Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_7066_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665305;;;
;;;Magnetisches Feld;Schweiz. Physik. Darstellung eines magnetischen Kraftfeldes. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_7067_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665348;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];Schweiz. Naturphänomen. Spinnennetz mit Wasserperlen besetzt;;;Nein;;lcmt-nabi-pctmp_ead_zing_7150_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665370;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];Schweiz. Naturphänomen. Spinnennetz. Grosses, gleichmässig gearbeitetes, mit Wasserperlen besetztes Exemplar an einer Weisstanne;;;Nein;;lcmt-nabi-pctmp_ead_zing_7151_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159911804;;;
;;;Schweiz, Gesamtaussenansicht eines Hauses [Lokalisierung unsicher];"Schweiz. Ein Wohnhaus aus Backstein; zwei Obergeschosse; Fenster des Hochparterres mit Verdachung; grosses Gittertor als Garteneingang";;;Nein;;lcmt-nabi-pctmp_ead_zing_7409_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665475;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];"Schweiz. Seelandschaft. Uferhalden mit Rebbergen; rechts ein alter Herrschaftssitz mit zwei Garten-Eckpavillons; Ansicht vom See aus. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_7464_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665544;;;
;;;Schweiz, Landschaft [Lokalisierung unsicher];Schweiz. Landschaft. Blick in ein tobelartiges Tal mit viel Laub- und Nadelgehölz;;;Nein;;lcmt-nabi-pctmp_ead_zing_7501_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665599;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereinswesen. Männerverein unterwegs auf einer Bergwanderung;;;Nein;;lcmt-nabi-pctmp_ead_zing_7529_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159986662;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereinswesen. Eine Gruppe von sechs jüngern Männern, wandermässig ausgestattet, unterwegs auf einer Bergwanderung;;;Nein;;lcmt-nabi-pctmp_ead_zing_7530_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159986729;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereinswesen. Fünf Männer in guter Stimmung auf einem Vereinsausflug auf einer Anhöhe;;;Nein;;lcmt-nabi-pctmp_ead_zing_7531_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159986777;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereinswesen, Schiesswesen. Ein Schiessverein, vor einer Hause gruppiert, mit Gewehren und Fahne, Zeigermannschaft;;;Nein;;lcmt-nabi-pctmp_ead_zing_7533_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159986827;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereins-, Schiesswesen. Gruppe von fünfzehn Männern mit Gewehren, sonntäglich gekleidet, unterwegs zu oder von einer Schiessveranstaltung;;;Nein;;lcmt-nabi-pctmp_ead_zing_7534_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159986938;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereins-, Schiesswesen. Ein Schützenverein, vor einer Hause gruppiert, mit Gewehren und Fahne, Zeigermannschaft;;;Nein;;lcmt-nabi-pctmp_ead_zing_7535_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159987058;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereins-, Schiesswesen. Gruppe von fünfzehn Männern mit Gewehren, unterwegs zu oder von einer Schiessveranstaltung;;;Nein;;lcmt-nabi-pctmp_ead_zing_7536_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M160448766;;;
Richterswil;47.20622;8.69686;Porträt, Männliche Person, Richterswil;Schweiz. Vereinswesen. Zwei Dutzend Mann Vereinsmitglieder, sonntäglich gekleidet mit Fahne, unterwegs auf der Heimkehr, in waldigem Gelände;;;Nein;;lcmt-nabi-pctmp_ead_zing_7537_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159987259;;;
;;;Porträt, Männliche Person, Schweiz;Schweiz. Bauerntum. Teil-Aussenansicht eines Stalles mit Tenntor, der Besitzer und zwei Knechte;;;Nein;;lcmt-nabi-pctmp_ead_zing_7570_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665618;;;
;;;Schweiz, Ortsteilansicht eines Dorfes [Lokalisierung unsicher];"Schweiz. Dorfbild, Einzelbau. Altes Gebäude: Dorfschmiede/Wagnerei; Aussenansicht: Obergeschoss und Giebelfeld in Riegelwerk";;;Nein;;lcmt-nabi-pctmp_ead_zing_7577_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665716;;;
;;;Mineral;Schweiz. Mineralogie. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8093_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665761;;;
;;;Mineral, Brookit, Quarz;Schweiz. Mineralogie. Zwei Stücke Brookit und Quarz. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8094_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665793;;;
;;;Mineral;Schweiz. Mineralogie. Stück aus Brookit und Quarzteilen bestehend, Kristalle. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8095_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159911851;;;
;;;Mineral;Schweiz. Mineralogie. Brookit und Quarz. Kristallgruppe (zu Bild Nr. 8095). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8096_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159665911;;;
;;;Mineral;Schweiz. Mineralogie. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8097_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159968868;;;
;;;Mineral, Haematit, Eisenrosen;Schweiz. Mineralogie. Hämatit, Eisenrosen. Fünf Stück einzeln. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8098_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666027;;;
;;;Mineral, Byssolith;Schweiz. Mineralogie. Byssolith, drei Stück. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8099_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159912193;;;
;;;Mineral, Apatit;Schweiz. Mineralogie. Apatit, vier Stück. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8100_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666115;;;
;;;Mineral;Schweiz. Mineralogie. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8101_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666146;;;
;;;Mineral, Rutil;Schweiz. Mineralogie. Institut der ETH. Rutil. Mehrere Stücke verschiedener Grösse, z.T. aus dem Lötschen-, z.T. aus dem Binnental (VS).Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8102_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159968899;;;
;;;Mineral, Laumontit;Schweiz. Mineralogie. Institut der ETH. Laumontit. 2 Stück. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8103_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159912385;;;
;;;Mineralien;Schweiz. Mineralogie. Institut der ETH. Skolezit, Desmin, Apophyllit. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8104_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159912478;;;
;;;Mineral, Haematit;Schweiz. Mineralogie. Institut der ETH. Hämatit (Eisenglanz) 4 Stück. Herkunft: Bündner Oberland. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8105_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159968956;;;
;;;Mineral, Haematit;Schweiz. Mineralogie. Institut der ETH. Hämatit, auf Quarz. Herkunft: Bündner Oberland. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8106_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666561;;;
;;;Mineral, Quarz;Schweiz. Mineralogie. Quarz. Vier Exemplare verschiedener Grösse und Form, davon zwei gedrehte. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8107_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666615;;;
;;;Mineral, Pyrit;Schweiz. Mineralogie. Pyrit. Vier Stücke von verschiedener Grösse. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8108_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666668;;;
;;;Mineral, Bohnerz;Schweiz. Mineralogie. Bohnerz. Drei Stücke von verschiedener Grösse. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8109_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666730;;;
;;;Mineral, Markasit;Schweiz. Mineralogie. Markasit. Drei Exemplare. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8110_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666790;;;
;;;Mineral;Schweiz. Mineralogie. (Bohnerz?) ein Klumpen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8111_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666928;;;
;;;Mineral;Schweiz. Mineralogie. Mesitinspat (?) Klumpen mit blättrigem Ueberzug. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8112_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666930;;;
;;;Mineral, Rutilnadeln;Schweiz. Mineralogie. Rutilnadeln, auf anderem Gestein gewachsen (Vergrösserung). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8113_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159666962;;;
;;;Mineral, Rutilnadeln;Schweiz. Mineralogie. Gruppe mit einzelnen Rutilnadeln nebst andern Bildungen (Vergrösserung). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8114_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667003;;;
;;;Mineral, Fluorit, Calcit;Schweiz. Mineralogie. Fluorit und Calzit (am gleichen Stück). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8115_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667032;;;
;;;Mineral;Schweiz. Mineralogie. Fluorit, Calzit(?). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8116_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667067;;;
;;;Mineral, Rutil, Apatit, Quarz, Chlorit;Schweiz. Mineralogie. Rutil, Apatit, Quarz, Chlorit (an einem Stück). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8117_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667092;;;
;;;Mineral;Schweiz. Mineralogie. Rutil, Apatit, Quarz, Chlorit (an einem Stück). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8118_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159912697;;;
;;;Mineral;"Schweiz. Mineralogie. Pyrit (?); grosser Klumpen mit viel Kristallen. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_8119_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667172;;;
;;;Mineral, Bohnerz;Schweiz. Mineralogie. Bohnerz. Eine Anzahl einzelner Kügelchen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8120_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159912754;;;
;;;Mineral, Rauchquarz;Schweiz. Mineralogie. Rauchquarz, drei Stück. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8121_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159969113;;;
;;;Mineral;Schweiz. Mineralogie. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8122_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667340;;;
;;;Mineral;Schweiz. Mineralogie. Siderit (?). Zwei Stück mit verschieden groben Partikeln. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8123_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667385;;;
;;;Mineral;"Schweiz. Mineralogie. Achatähnliches Mineral; zwei Stück, deren eines teilweise blätterig verwittert. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_8124_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667397;;;
;;;Mineral;Schweiz. Mineralogie. Mineralklumpen mit mehreren kräftigen Pyrit (?)-Kristallen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8125_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667422;;;
;;;Mineral, Pyrit;Schweiz. Mineralogie. Pyrit. Zwei Stück verschiedener Form und Volumens. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8126_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667445;;;
;;;Mineral;"Schweiz. Mineralogie. Turmalin (?); vier Stück, eines separat, drei auf natürlicher Steinunterlage (Kalkstein?). Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_8127_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667476;;;
;;;Mineral;"Schweiz. Mineralogie. Carbonat (?); zwei Exemplare. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_8128_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667515;;;
;;;Mineral;Schweiz. Mineralogie. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8129_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667551;;;
;;;Mineral, Quarz mit Rutilnadeln;Schweiz. Mineralogie. Quarz mit Rutilnadeln im Innern. Mehrteilige Gruppe von verschieden grossen Kristallen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8130_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667594;;;
;;;Mineral, Quarz mit Rutil;Schweiz. Mineralogie. Quarz mit Rutilnadeln (Variant Aufnahme zu 8130). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8131_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667637;;;
;;;Mineral, Quarz, Rutil;Schweiz. Mineralogie. Quarz mit Rutilnadeln (Variant Aufnahme zu 8130). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8132_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667886;;;
;;;Mineral, Quarz mit Rutil;Schweiz. Mineralogie. Quarz mit Rutilnadeln (Variant Aufnahme zu 8130). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8133_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159667883;;;
;;;Mineral, Eisenrosen;Schweiz. Mineralogie. Eisenrosen: Hämatit. Mehrere Exemplare auf natürlicher Steinunterlage. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8134_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668062;;;
;;;Mineral, Anatas;Schweiz. Mineralogie. Anatas. Eine Menge kleiner Kristalle auf natürlicher Steinunterlage. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8135_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159912986;;;
;;;Mineral, Quarz;Schweiz. Mineralogie. Quarz (Rauch-?). Grosser und kleiner Turm. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8136_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668221;;;
;;;Mineral;Schweiz. Mineralogie. Krokit (?). Klumpen, von einem Neztwerk ineinander verwachsener Stäbe überzogen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8137_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668274;;;
;;;Mineral, Rauchquarz;Schweiz. Mineralogie. Rauchquarz. Grösserer Turm auf natürlicher Unterlage. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8138_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668343;;;
;;;Mineral, Rauchquarz mit Rutil;Schweiz. Mineralogie. Quarz mit Rutil. Drei verschieden grosse Exemplare, separat. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8139_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668396;;;
;;;Mineral, Korrodierter Quarz;Schweiz. Mineralogie. Quarz. Klumpen mit korrodierten Flächen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8140_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668453;;;
;;;Mineral, Rauchquarz;Schweiz. Mineralogie. Rauchquarz. Zwei Exemplare. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8141_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159913030;;;
;;;Mineral, Adular;Schweiz. Mineralogie. Adular. Klumpen mit z.T. scharf geschroteten Seitenflächen und scharfer Kante. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8142_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668623;;;
;;;Mineral, Quarz;Schweiz. Mineralogie. Quarz. Grössere natürliche Gruppe in der Form einer mittelalterlichen Burg auf schroffem Fels (zu Bild Nr. 8146). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8143_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668662;;;
;;;Mineral, Eisenrosen;Schweiz. Mineralogie. Eisenrosen: Hämatit. Vier Exemplare auf ihrer natürlichen Steinunterlage. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8144_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668699;;;
;;;Mineral, Adular mit Chlorit;Schweiz. Mineralogie. Adular mit Chlorit. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8145_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668728;;;
;;;Mineral, Quarz;Schweiz. Mineralogie. Quarz. Burgähnliche Gruppe (zu Bild Nr. 8143). Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8146_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668810;;;
;;;Mineral;Schweiz. Mineralogie. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8147_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668815;;;
;;;Mineral, Adular;Schweiz. Mineralogie. Adular. Geschlossene Gruppe mit Quer- und Hochpartien. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8148_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668842;;;
;;;Mineral, Quarz mit Rutil;Schweiz. Mineralogie. Quarz. Grösseres Stück mit Rutilnadeln im Innern. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8149_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668869;;;
;;;Mineral, Quarz mit Rutilnadeln;Schweiz. Mineralogie. Quarz mit Rutilnadeln. Drei Exemplare von verschiedener Grösse. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8150_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668965;;;
;;;Mineral, Eisenrosen;"Schweiz. Mineralogie. Hämatit: Eisenrosen; Gruppe mehrerer Einzelstücke. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_8151_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159668976;;;
;;;Mineral, Rauchquarz;Schweiz. Mineralogie. Rauchquarz. Drei Stücke verschiedenen Volumens. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8152_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159971043;;;
;;;Mineral, Adular mit Eisenrosen;"Schweiz. Mineralogie. Adular; grösserer Klotz mit vielen kleinen Eisenrosen. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_8153_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159913193;;;
;;;Mineral, Albit;"Schweiz. Mineralogie. Albit (Feldspat); kompakte Gruppe einer Menge Kristalle. Aufnahme 1890-1936.";;;Nein;;lcmt-nabi-pctmp_ead_zing_8154_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159669258;;;
;;;Mineral, Quarz;Schweiz. Mineralogie. Quarz. Drei Stücke, teilweise von Känalchen durchzogen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8155_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159669409;;;
;;;MIneral, Rutil, Quarz, Haematit;Schweiz. Mineralogie. Steinklumpen mit Rutil, Quarzkristallen, Hämatit. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8156_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159669408;;;
;;;Mineral, Quarz;Schweiz. Mineralogie. Quarz. Drei Stücke verschiedener Grösse, einzeln. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8157_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159669425;;;
;;;Mineral, Adular;Schweiz. Mineralogie. Adular. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8158_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159669446;;;
;;;Mineral, Eisenrosen;Schweiz. Mineralogie. Hämatit. Zusammengestellte Gruppe vieler einzelner Eisenrosen. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8159_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159669585;;;
;;;Mineral, Tessiner Quarz;Schweiz. Mineralogie. Tessiner Quarz. Zwei Einzelstücke. Aufnahme 1890-1936.;;;Nein;;lcmt-nabi-pctmp_ead_zing_8160_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159913221;;;
