Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Harderbahn, Teilansicht","Blick auf einen Teil der Harderbahn mit einem Wagen, im Hintergrund Interlaken",1908,,,Switzerland,Canton de Berne,Interlaken,46.6955816,7.8628464,4,False,1
"Zürich, Kreis 1, Bauschänzli, Ortsteilansicht","Zürich, Blick von der Quaibrücke auf das Bauschänzli",1908,,,Switzerland,Kanton Zürich,Zürich,47.3678613,8.5423935,4,False,1
"Lugano, Kirche Santa Maria degli Angioli, Teilinnenansicht","Kirche Santa Maria degli Angioli, la Crocifissione von Bernardino Luini gemalt",1908,,,Switzerland,Cantone Ticino,Lugano,45.9999834,8.9490351,4,False,1
"Davos, Bob-Sport",Teilansicht der Davoser Bobbahn mit grosser Zuschauermenge,1908,,,Switzerland,Kanton Graubünden,Davos,46.80429,9.83723,3,True,0
"Lugano, Piazza della Riforma, Teilansicht","Lugano, Piazza della Reforma; Ansicht gegen Südwesten, Blick auf die Marktstände, links der Palazzo Civico, im Hintergrund Geschäftshäuser",1908,,,Switzerland,Cantone Ticino,Lugano,46.0036289,8.9516442,4,False,1
"Italia, Valsolda, Oria, Villa Bianci, Gesamtaussenansicht",Ansicht der Villa Bianci am Ufer von Oria,1908,,,Italy,Puglia,Oria,40.49999,17.6428,3,True,0
"Italia, Albogasio, Ortsteilansicht",Blick auf Albogasio vom Lago di Lugano aus,1908,,,Italy,,Albogasio,46.0236379,9.0401926,2,True,1
"Italia, Albogasio, Ortsteilansicht",Blick auf Albogasio vom Lago di Lugano aus,1908,,,Italy,,Albogasio,46.0236379,9.0401926,2,True,1
"Italia, Valsolda, San Mamete, Ortsgesamtansicht",Blick auf San Mamete vom Lago di Lugano aus,1908,,,Italy,Lombardia,San Mamete,46.02505,9.05364,3,True,0
"Italia, Valsolda, San Mamete, Ortsgesamtansicht","Blick auf San Mamete vom Lago di Lugano aus, mittig ein Ruderboot",1908,,,Italy,Lombardia,San Mamete,46.02505,9.05364,3,True,0
"Italia, Valsolda, San Mamete, Ortsteilansicht",Blick auf San Mamete vom Lago di Lugano aus,1908,,,Italy,Lombardia,San Mamete,46.02505,9.05364,3,True,0
"Italia, Valsolda, Castello, Ortsteilansicht","Blick auf die auf einem Felsen gelegene Ortschaft Castello, im Vordergrund Wald",1908,,,Italy,Friuli Venezia Giulia,Castello,45.9498,8.67566,3,True,0
"Italia, Valsolda, Castello, Ortsteilansicht","Blick auf die auf einem Felsen gelegene Ortschaft Castello, im Vordergrund eine Steinbrücke",1908,,,Italy,Friuli Venezia Giulia,Castello,45.9498,8.67566,3,True,0
"Luzern, Ortsgesamtansicht",Blick auf Luzern gegen die Rigi vom Gütsch aus gesehen,1906,,,Switzerland,Kanton Luzern,Luzern,47.05048,8.30635,3,True,0
"Italia, Lanzo d'Intelvi, Panorama",Blick von Lanzo d'Intelvi auf den Lago di Lugano,1908,,,Italy,,Lanzo d'Intelvi,45.9791282,9.0207604,2,True,1
"Luzern, Schweizerhofquai, Teilansicht","Luzern, Sicht auf den Schweizerhofquai, Kirche St. Leodegar, Hotel National",1906,,,Switzerland,Kanton Luzern,Luzern,47.0536971,8.3092967,4,False,1
"Italia, Lanzo d'Intelvi, Ortsgesamtansicht","Ansicht von Lanzo d'Intelvi, im Vordergrund Fuhrwerke auf einem Weg",1908,,,Italy,,Lanzo d'Intelvi,45.9791282,9.0207604,2,True,1
"Arogno, Ortsgesamtansicht",Ortsgesamtansicht und Tal im Hintergrund,1908,,,Switzerland,Cantone Ticino,Arogno,45.95909,8.98441,3,True,0
"Valganna, Ortsteilansicht",Ansicht von Valganna,1908,,,Italy,Lombardia,Valganna,45.90228,8.82333,3,True,0
"Valganna, Ortsteilansicht",Ansicht von Valganna,1908,,,Italy,Lombardia,Valganna,45.90228,8.82333,3,True,0
"Vierwaldstättersee, Landschaft","Blick auf den Vierwaldstättersee (Urnersee), dahinter Bergpanorama",1906,,,Switzerland,,Vierwaldstättersee,46.9819,8.48,5,False,0
"Grindelwald, Ortsgesamtansicht","Blick auf Grindelwald hinab, gegen das Wetterhorn",1908,,,Switzerland,Canton de Berne,Grindelwald,46.62396,8.03601,3,True,0
"Italia, Varzo, Ortsgesamtansicht",Blick von einer anhöhe auf Varzo,1905,,,Italy,Piemonte,Varzo,46.20736,8.25267,3,True,0
"Fiesch, Ortsgesamtansicht","Unten ist das Dorf zu sehen, dahinter der bewaldete Berghang, oben die Bergspitze",1905,,,Switzerland,Canton du Valais,Fiesch,46.39981,8.13533,3,True,0
"Italia, Macugnaga, Pecetto, Ortsteilansicht",Teilansicht der Walsersiedlung Pecetto/Zertannen mit Kirche,1906,,,Italy,Piemonte,Pecetto,45.0176,7.75107,3,True,0
"Staldenried, Zertannen, Bauernhaus, Gesamtaussenansicht",Ansicht eines Bauernhauses gegen Nordend in Zertannen,1906,,,Switzerland,,Zertannen,,,0,False,0
"Orselina, Ortsteilansicht",Teilansicht von Orselina mit Blick auf den Kirchturm,1906,,,Switzerland,Cantone Ticino,Orselina,46.18013,8.79979,3,True,0
