Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Titel.1,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km
"Pontresina, Landschaft",Pontresina GR. Landschaft. Aussicht von Muottas Muragl gegen Westen: nach dem Piz Güglia und seinen nordöstlichen Nachbarberge und dem Val Saluver. Links unten: das Dorf Celerina,46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11157_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267471,"Pontresina, Landschaft",Pontresina GR. Landschaft. Aussicht von Muottas Muragl gegen Westen: nach dem Piz Güglia und seinen nordöstlichen Nachbarberge und dem Val Saluver. Links unten: das Dorf Celerina,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.52396,9.90983,5,False,0,3.8
"Pontresina, Landschaft",Pontresina GR. Landschaft. Aussicht von Muottas Muragl gegen Westen: auf dem Raum von Celerina und gegen Samaden hin; Berge: Piz Güglia und seine nordöstlichen Nachbaren. Aufnahme 1890-1936.,46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11158_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267507,"Pontresina, Landschaft",Pontresina GR. Landschaft. Aussicht von Muottas Muragl gegen Westen: auf dem Raum von Celerina und gegen Samaden hin; Berge: Piz Güglia und seine nordöstlichen Nachbaren. Aufnahme 1890-1936.,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.52396,9.90983,5,False,0,3.8
"Samdean, Muottas Muragl, Panorama","Pontresina GR. Landschaft. Aussicht von Muottas Muragl gegen Nordwesten: auf das Dorf Samaden, den Piz Ot (links) und das Val Bever rechts",46.5332403,9.874586,Nein,Samedan,lcmt-nabi-pctmp_ead_zing_11159_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267545,"Samedan, Muottas Muragl, Panorama","Pontresina GR. Landschaft. Aussicht von Muottas Muragl gegen Nordwesten: auf das Dorf Samaden, den Piz Ot (links) und das Val Bever rechts",1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Samedan,46.52396,9.90983,5,False,0,2.89
"Pontresina, Landschaft",Pontresina GR. Landschaft. Die Aussicht von Muottas Muragl gegen Südwesten: auf die Oberengadiner Seen und Berge,46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11160_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267574,"Pontresina, Landschaft",Pontresina GR. Landschaft. Die Aussicht von Muottas Muragl gegen Südwesten: auf die Oberengadiner Seen und Berge,1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.52396,9.90983,5,False,0,3.8
"Pontresina, Landschaft","Pontresina GR. Hochgebirgslandschaft. Schneebedeckte Berghäupter und eine Gletscherzunge in einem Hochtal: der Palügletscher von Alp Grüm, d.h. von Ost-Nordosten aus gesehen. Aufnahme 1890-1936.",46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11161_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267631,"Pontresina, Landschaft","Pontresina GR. Hochgebirgslandschaft. Schneebedeckte Berghäupter und eine Gletscherzunge in einem Hochtal: der Palügletscher von Alp Grüm, d.h. von Ost-Nordosten aus gesehen. Aufnahme 1890-1936.",1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.4955,9.90126,3,True,0,0.65
"Fex, Landschaft","Sils im Engadin/Segl GR. Berglandschaft zuhinterst im Fextal: Talboden mit Wassertümpel und Alphütte, dahinter der Talabschluss mit dem Tremoggia- und Fexgletscher. Blick gegen Süd-Südosten. Aufnahme 1890-1936.",46.4305069,9.7631108,Nein,Sils im Engadin/Segl,lcmt-nabi-pctmp_ead_zing_11162_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267693,"Fex, Landschaft","Sils im Engadin/Segl GR. Berglandschaft zuhinterst im Fextal: Talboden mit Wassertümpel und Alphütte, dahinter der Talabschluss mit dem Tremoggia- und Fexgletscher. Blick gegen Süd-Südosten. Aufnahme 1890-1936.",1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Sils im Engadin/Segl,46.40566,9.76865,5,False,0,2.8
"Pontresina, Val Muragl, Panorama","Pontresina GR. Hochgebirgslandschaft. Die Aussicht von Muottas Muragl nach Südosten: v.l.n.r. Piz Vadret, Fuorcla Muragl, Piz Muragl und Las trais Sours; darunter und dazwischen das Val Muragl",46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11163_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267750,"Pontresina, Val Muragl, Panorama","Pontresina GR. Hochgebirgslandschaft. Die Aussicht von Muottas Muragl nach Südosten: v.l.n.r. Piz Vadret, Fuorcla Muragl, Piz Muragl und Las trais Sours; darunter und dazwischen das Val Muragl",1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.5244537,9.9206648,4,False,1,4.03
"Pontresina, Morteralschgletscher, Panaroma",Pontresina GR. Hochgebirgslandschaft. Der Morteratschgletscher und die Gruppe Bellavista-Bernina-Morteratsch von Norden (von der Berninapass-Strasse) gesehen (vgl. Bild Nr. 2304),46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_zing_11164_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267785,"Pontresina, Morteralschgletscher, Panorama",Pontresina GR. Hochgebirgslandschaft. Der Morteratschgletscher und die Gruppe Bellavista-Bernina-Morteratsch von Norden (von der Berninapass-Strasse) gesehen (vgl. Bild Nr. 2304),1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,Pontresina,46.3957204,9.9251974,4,False,1,10.6
"Porträt, Männliche Person, Santa Maria Val Müstair",Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: der Ortler (3899 m) vom Stilfserjoch aus gesehen,-29.7018851,-53.8191147,Nein,Sta. Maria V. M.,lcmt-nabi-pctmp_ead_zing_11167_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267898,"Porträt, Männliche Person, Santa Maria Val Müstair",Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: der Ortler (3899 m) vom Stilfserjoch aus gesehen,1890-1936,Rudolf Zinggeler,,Switzerland,,Sta. Maria V. M.,,,0,False,0,
"Santa Maria Val Müstair, Giogo di Santa Maria, Landschaft","Sta Maria Val Müstair GR. Berglandschaft im Gebiete des Umbrailpasses und der Dreisprachenspitze; weitläufiges Alpgelände, durchzogen von den Windungen der Pass-Strasse",-29.7018851,-53.8191147,Nein,Sta. Maria V. M.,lcmt-nabi-pctmp_ead_zing_11169_pctmp.jpg,1920,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267978,"Santa Maria Val Müstair, Giogo di Santa Maria, Landschaft","Sta Maria Val Müstair GR. Berglandschaft im Gebiete des Umbrailpasses und der Dreisprachenspitze; weitläufiges Alpgelände, durchzogen von den Windungen der Pass-Strasse",1920,Rudolf Zinggeler,,Switzerland,,Sta. Maria V. M.,46.5667,10.4167,5,False,0,10647.21
