Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.,47.657323,11.5233058,Nein,Finstermünz,lcmt-nabi-pctmp_ead_zing_11559_pctmp.jpg,1917,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162340481,"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.,1917,Rudolf Zinggeler,,Austria,Tirol,Finstermünz,,,0,False,0,,
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.,47.657323,11.5233058,Nein,Finstermünz,lcmt-nabi-pctmp_ead_zing_11560_pctmp.jpg,1917,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162340574,"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.,1917,Rudolf Zinggeler,,Austria,Tirol,Finstermünz,,,0,False,0,,
"Puria (IT), Ortschaft, Ortsteilansicht","Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten",46.032034,9.0562556,Nein,Puria,lcmt-nabi-pctmp_ead_zing_12082_pctmp.jpg,1890-1936,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737107,"Puria (IT), Ortschaft, Ortsteilansicht","Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Puria,46.0324,9.05694,3,True,0,0.07,https://www.openstreetmap.org/?mlat=46.0324&mlon=9.05694&zoom=14
"Puria (IT), Ortschaft, Ortsteilansicht","Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda",46.032034,9.0562556,Nein,Puria,lcmt-nabi-pctmp_ead_zing_12083_pctmp.jpg,1890-1936,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737125,"Puria (IT), Ortschaft, Ortsteilansicht","Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Puria,46.0324,9.05694,3,True,0,0.07,https://www.openstreetmap.org/?mlat=46.0324&mlon=9.05694&zoom=14
"Cressogno (IT), Chiesa San Nicolao, Teilaussenansicht","Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade",46.0247294,9.0727473,Nein,Cressogno,lcmt-nabi-pctmp_ead_zing_12084_pctmp.jpg,1890-1936,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737140,"Cressogno (IT), Chiesa San Nicolao","Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Cressogno,46.02426,9.07102,3,True,0,0.14,https://www.openstreetmap.org/?mlat=46.02426&mlon=9.07102&zoom=14
"Castello (IT), Ortschaft, Ortsteilansicht","Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)",44.9515624,9.2536443,Nein,Castello,lcmt-nabi-pctmp_ead_zing_12085_pctmp.jpg,1890-1936,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737158,"Castello (IT), Ortschaft, Ortsteilansicht","Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Castello,45.9498,8.67566,3,True,0,119.81,https://www.openstreetmap.org/?mlat=45.9498&mlon=8.67566&zoom=14
"Porträt, Männliche Person, Onsernone","Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue)",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12140_pctmp.jpg,1933,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738441,"Porträt, Männliche Person, Onsernone","Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue)",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Weibliche Person, Onsernone",Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild),46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12153_pctmp.jpg,1933,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738511,"Porträt, Weibliche Person, Onsernone",Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild),1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung,46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12155_pctmp.jpg,1933,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738537,"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung,1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn)",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12161_pctmp.jpg,1933,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738588,"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn)",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12162_pctmp.jpg,1933,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738625,"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13,https://www.openstreetmap.org/?mlat=46.20304&mlon=8.62333&zoom=14
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,46.3169604,8.6018223,Nein,Cevio,lcmt-nabi-pctmp_ead_zing_12198_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162740607,"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0,0.27,https://www.openstreetmap.org/?mlat=46.31479&mlon=8.60332&zoom=14
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,46.3169604,8.6018223,Nein,Cevio,lcmt-nabi-pctmp_ead_zing_12199_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162740627,"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0,0.27,https://www.openstreetmap.org/?mlat=46.31479&mlon=8.60332&zoom=14
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12207_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741063,"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15,https://www.openstreetmap.org/?mlat=46.33845&mlon=8.60816&zoom=14
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12208_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741088,"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15,https://www.openstreetmap.org/?mlat=46.33845&mlon=8.60816&zoom=14
"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12210_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741108,"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15,https://www.openstreetmap.org/?mlat=46.33845&mlon=8.60816&zoom=14
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12213_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741186,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.34531&mlon=8.60713&zoom=14
"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12215_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741212,"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.34531&mlon=8.60713&zoom=14
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12216_pctmp.jpg,1932,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741229,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02,https://www.openstreetmap.org/?mlat=46.34531&mlon=8.60713&zoom=14
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12232_pctmp.jpg,1931,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741540,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada",1931,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.35638,8.58472,5,False,0,2.13,https://www.openstreetmap.org/?mlat=46.35638&mlon=8.58472&zoom=14
"Porträt, Kind, Brione (Verzasca)","Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend",46.2963757,8.7908609,Nein,Brione (Verzasca),lcmt-nabi-pctmp_ead_zing_12283_pctmp.jpg,1934,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162742629,"Porträt, Kind, Brione (Verzasca)","Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Brione (Verzasca),46.29525,8.79173,3,True,0,0.14,https://www.openstreetmap.org/?mlat=46.29525&mlon=8.79173&zoom=14
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar,46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12295_pctmp.jpg,1934,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162747750,"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar,1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend,46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12318_pctmp.jpg,1934,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162748621,"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend,1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
"Porträt, Weibliche Person, Frasco","Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.",46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12337_pctmp.jpg,1934,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162748722,"Porträt, Weibliche Person, Frasco","Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen beschäftigt in einem Winkel zwischen Hauswand und Treppengemäuer",,,Nein,,lcmt-nabi-pctmp_ead_zing_12365_pctmp.jpg,1934,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162749395,"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen beschäftigt in einem Winkel zwischen Hauswand und Treppengemäuer",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen am Werk",,,Nein,,lcmt-nabi-pctmp_ead_zing_12366_pctmp.jpg,1934,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162749423,"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen am Werk",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,,https://www.openstreetmap.org/?mlat=46.34398&mlon=8.7984&zoom=14
"Schweiz, Gesamtaussenansicht einer Kapelle [Lokalisierung unsicher]","Schweiz. Die Kapelle zwischen einem Stall und einem Speicher; davor Weg und Zäune, Wiesenfläche. Aufnahme 1921.",,,Nein,,lcmt-nabi-pctmp_ead_zing_12415_pctmp.jpg,1921,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162751051,"Schweiz, Gesamtaussenansicht einer Kapelle","Schweiz. Die Kapelle zwischen einem Stall und einem Speicher; davor Weg und Zäune, Wiesenfläche. Aufnahme 1921.",1921,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Porträt, Männliche Person, Schweiz","Schweiz. Menschliches. Alter Herr (Professor?) in grauem Jaquetkleid, vor Hausecke an Treppe stehend",,,Nein,,lcmt-nabi-pctmp_ead_zing_12428_pctmp.jpg,1890-1936,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162751300,"Porträt, Männliche Person, Schweiz","Schweiz. Menschliches. Alter Herr (Professor?) in grauem Jaquetkleid, vor Hausecke an Treppe stehend",1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,,
"Porträt, Weibliche Person, Evolène","Evolène VS. Trachtenwesen. Junge Frau in der Evolènertracht, mit Strickzeug auf Haustreppe sitzend",46.1129048,7.4958022,Nein,Evolène,lcmt-nabi-pctmp_ead_zing_12473_pctmp.jpg,1922,,helveticarchives.ch,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162755678,"Porträt, Weibliche Person, Evolène","Evolène VS. Trachtenwesen. Junge Frau in der Evolènertracht, mit Strickzeug auf Haustreppe sitzend",1922,Rudolf Zinggeler,,Switzerland,Canton du Valais,Evolène,46.11422,7.49407,3,True,0,0.2,https://www.openstreetmap.org/?mlat=46.11422&mlon=7.49407&zoom=14
